metric,rank,tag,value
engagement,1,atheism,0.26409
engagement,2,oil,0.23261
engagement,3,God,0.2238
engagement,4,TED-Ed,0.18928
engagement,5,novel,0.17683
engagement,6,meme,0.16914
engagement,7,religion,0.16062
engagement,8,nuclear weapons,0.15156
engagement,9,suicide,0.14278
engagement,10,Anthropocene,0.13704
