metric,rank,tag,value
positivity,1,Addiction,157.07522
positivity,2,immigration,73.50599
positivity,3,testing,72.77612
positivity,4,refugees,57.95761
positivity,5,exoskeleton,54.53844
positivity,6,Criminal Justice,50.54099
positivity,7,TED en Español,45.60946
positivity,8,conducting,43.47322
positivity,9,TED Residency,41.97537
positivity,10,Blindness,38.06297
