metric,rank,tag,value
views,1,body language,7993455.091
views,2,testing,6657858
views,3,success,6454556.607
views,4,introvert,6303975.6
views,5,mindfulness,4335876.6
views,6,evil,4283967
views,7,dance,4122717.16
views,8,productivity,4048263.35
views,9,Addiction,4033930.2
views,10,magic,4021694.056
