metric,rank,tag,value
engagement,1,atheism,0.00055
engagement,2,oil,0.00052
engagement,3,God,0.00048
engagement,4,TED-Ed,0.00042
engagement,5,novel,0.00039
engagement,6,meme,0.00038
engagement,7,religion,0.00035
engagement,8,nuclear weapons,0.00033
engagement,9,suicide,0.00032
engagement,10,Anthropocene,0.0003
